date,SPI,,,
2/1/1914,0.32,,,
3/1/1914,-0.54,,,
4/1/1914,-0.99,,,
5/1/1914,-1.08,,,
6/1/1914,0.76,,,
7/1/1914,0.74,,,
8/1/1914,0.72,,,
9/1/1914,0.32,,,
10/1/1914,-0.15,,,
11/1/1914,-0.14,,,
12/1/1914,-0.44,,,
1/1/1915,0.88,,,
2/1/1915,1.27,,,
3/1/1915,1.35,,,
4/1/1915,1.56,,,
5/1/1915,1.37,,,
6/1/1915,1.62,,,
7/1/1915,0.9,,,
8/1/1915,0.07,,,
9/1/1915,0.23,,,
10/1/1915,0.4,,,
11/1/1915,0.92,,,
12/1/1915,0.43,,,
1/1/1916,0.25,,,
2/1/1916,0.58,,,
3/1/1916,0.51,,,
4/1/1916,0.06,,,
5/1/1916,1.24,,,
6/1/1916,1.07,,,
7/1/1916,2.21,,,
8/1/1916,1.5,,,
9/1/1916,2.23,,,
10/1/1916,1.61,,,
11/1/1916,1.98,,,
12/1/1916,1.31,,,
1/1/1917,0.9,,,
2/1/1917,0.95,,,
3/1/1917,1.22,,,
4/1/1917,0.97,,,
5/1/1917,-0.07,,,
6/1/1917,0.38,,,
7/1/1917,-0.65,,,
8/1/1917,0.5,,,
9/1/1917,1.29,,,
10/1/1917,2.17,,,
11/1/1917,1.9,,,
12/1/1917,1.51,,,
1/1/1918,0.86,,,
2/1/1918,-0.54,,,
3/1/1918,-0.58,,,
4/1/1918,-0.88,,,
5/1/1918,1.95,,,
6/1/1918,0.76,,,
7/1/1918,-0.58,,,
8/1/1918,-2.37,,,
9/1/1918,-2.48,,,
10/1/1918,-1.94,,,
11/1/1918,-1.58,,,
12/1/1918,-1.27,,,
1/1/1919,0.21,,,
2/1/1919,0.7,,,
3/1/1919,-0.11,,,
4/1/1919,-0.4,,,
5/1/1919,-0.49,,,
6/1/1919,0.97,,,
7/1/1919,0.32,,,
8/1/1919,-0.14,,,
9/1/1919,-0.12,,,
10/1/1919,-0.12,,,
11/1/1919,0.44,,,
12/1/1919,-0.32,,,
1/1/1920,0.9,,,
2/1/1920,0.82,,,
3/1/1920,0.67,,,
4/1/1920,-0.53,,,
5/1/1920,-0.69,,,
6/1/1920,-1.37,,,
7/1/1920,-2.17,,,
8/1/1920,-2.53,,,
9/1/1920,-1.85,,,
10/1/1920,-1.44,,,
11/1/1920,-1.03,,,
12/1/1920,-1.89,,,
1/1/1921,-1.26,,,
2/1/1921,-0.82,,,
3/1/1921,-0.98,,,
4/1/1921,-0.82,,,
5/1/1921,-1.44,,,
6/1/1921,-1.05,,,
7/1/1921,-0.15,,,
8/1/1921,-0.66,,,
9/1/1921,-0.79,,,
10/1/1921,-1.51,,,
11/1/1921,-0.77,,,
12/1/1921,-0.53,,,
1/1/1922,0.64,,,
2/1/1922,0.71,,,
3/1/1922,0.67,,,
4/1/1922,-0.36,,,
5/1/1922,0.33,,,
6/1/1922,1.17,,,
7/1/1922,0.49,,,
8/1/1922,-0.62,,,
9/1/1922,-1.67,,,
10/1/1922,-1.44,,,
11/1/1922,0.14,,,
12/1/1922,0.88,,,
1/1/1923,1.57,,,
2/1/1923,-0.07,,,
3/1/1923,1.55,,,
4/1/1923,1.37,,,
5/1/1923,0.63,,,
6/1/1923,-2.12,,,
7/1/1923,-0.55,,,
8/1/1923,-1,,,
9/1/1923,0.42,,,
10/1/1923,-0.38,,,
11/1/1923,0.02,,,
12/1/1923,-2.21,,,
1/1/1924,-0.8,,,
2/1/1924,-0.2,,,
3/1/1924,-0.32,,,
4/1/1924,0.32,,,
5/1/1924,-0.4,,,
6/1/1924,-1.06,,,
7/1/1924,-1.46,,,
8/1/1924,-0.81,,,
9/1/1924,-0.12,,,
10/1/1924,0.26,,,
11/1/1924,0.11,,,
12/1/1924,0.08,,,
1/1/1925,0.21,,,
2/1/1925,0.84,,,
3/1/1925,-1.19,,,
4/1/1925,-1.45,,,
5/1/1925,0.78,,,
6/1/1925,-0.11,,,
7/1/1925,-0.9,,,
8/1/1925,-0.81,,,
9/1/1925,-1.13,,,
10/1/1925,-0.49,,,
11/1/1925,-0.54,,,
12/1/1925,0.32,,,
1/1/1926,1.27,,,
2/1/1926,1.32,,,
3/1/1926,1.33,,,
4/1/1926,-0.99,,,
5/1/1926,-0.53,,,
6/1/1926,-0.55,,,
7/1/1926,-0.79,,,
8/1/1926,0.29,,,
9/1/1926,0.65,,,
10/1/1926,0.52,,,
11/1/1926,-0.3,,,
12/1/1926,-1.97,,,
1/1/1927,-0.45,,,
2/1/1927,-0.26,,,
3/1/1927,-0.09,,,
4/1/1927,0.39,,,
5/1/1927,-0.36,,,
6/1/1927,-0.03,,,
7/1/1927,-0.15,,,
8/1/1927,-0.77,,,
9/1/1927,-0.51,,,
10/1/1927,-0.55,,,
11/1/1927,0.56,,,
12/1/1927,0.62,,,
1/1/1928,1.21,,,
2/1/1928,1.06,,,
3/1/1928,1.15,,,
4/1/1928,0.87,,,
5/1/1928,-0.99,,,
6/1/1928,0.6,,,
7/1/1928,0.44,,,
8/1/1928,0.53,,,
9/1/1928,0.66,,,
10/1/1928,0.82,,,
11/1/1928,0.76,,,
12/1/1928,0.19,,,
1/1/1929,-1.01,,,
2/1/1929,0.84,,,
3/1/1929,0.71,,,
4/1/1929,1.69,,,
5/1/1929,0.64,,,
6/1/1929,1.28,,,
7/1/1929,-0.13,,,
8/1/1929,-0.82,,,
9/1/1929,-1.41,,,
10/1/1929,-0.92,,,
11/1/1929,-0.37,,,
12/1/1929,-0.5,,,
1/1/1930,-0.59,,,
2/1/1930,0.07,,,
3/1/1930,0.05,,,
4/1/1930,-0.33,,,
5/1/1930,-0.48,,,
6/1/1930,-0.77,,,
7/1/1930,-1.76,,,
8/1/1930,-1.8,,,
9/1/1930,-0.46,,,
10/1/1930,0.47,,,
11/1/1930,0.87,,,
12/1/1930,0.44,,,
1/1/1931,0.22,,,
2/1/1931,-1.02,,,
3/1/1931,0.24,,,
4/1/1931,0.59,,,
5/1/1931,0.04,,,
6/1/1931,-0.21,,,
7/1/1931,0.11,,,
8/1/1931,-0.33,,,
9/1/1931,0.15,,,
10/1/1931,0.61,,,
11/1/1931,1.52,,,
12/1/1931,1.96,,,
1/1/1932,1.67,,,
2/1/1932,0.72,,,
3/1/1932,0.8,,,
4/1/1932,0.93,,,
5/1/1932,0.84,,,
6/1/1932,-0.32,,,
7/1/1932,0.34,,,
8/1/1932,0.01,,,
9/1/1932,-0.06,,,
10/1/1932,-0.26,,,
11/1/1932,0.35,,,
12/1/1932,1.05,,,
1/1/1933,1.19,,,
2/1/1933,-0.11,,,
3/1/1933,0.86,,,
4/1/1933,1.12,,,
5/1/1933,2.03,,,
6/1/1933,1.45,,,
7/1/1933,0.7,,,
8/1/1933,-0.08,,,
9/1/1933,1.07,,,
10/1/1933,1.03,,,
11/1/1933,1.24,,,
12/1/1933,0.13,,,
1/1/1934,0.92,,,
2/1/1934,1.37,,,
3/1/1934,0.16,,,
4/1/1934,0.45,,,
5/1/1934,-0.18,,,
6/1/1934,-0.73,,,
7/1/1934,0.34,,,
8/1/1934,1.46,,,
9/1/1934,1.43,,,
10/1/1934,0.66,,,
11/1/1934,0.1,,,
12/1/1934,0.3,,,
1/1/1935,1.22,,,
2/1/1935,-0.56,,,
3/1/1935,-0.72,,,
4/1/1935,-0.35,,,
5/1/1935,-0.98,,,
6/1/1935,0.87,,,
7/1/1935,0.65,,,
8/1/1935,1.23,,,
9/1/1935,1.14,,,
10/1/1935,1.44,,,
11/1/1935,1.02,,,
12/1/1935,0.75,,,
1/1/1936,-0.27,,,
2/1/1936,1.03,,,
3/1/1936,1.1,,,
4/1/1936,0.89,,,
5/1/1936,1.37,,,
6/1/1936,-0.14,,,
7/1/1936,-1.08,,,
8/1/1936,-2.41,,,
9/1/1936,-1.72,,,
10/1/1936,-1.51,,,
11/1/1936,0.1,,,
12/1/1936,0.68,,,
1/1/1937,1.84,,,
2/1/1937,0.09,,,
3/1/1937,0.77,,,
4/1/1937,1.75,,,
5/1/1937,0.93,,,
6/1/1937,-0.36,,,
7/1/1937,0.07,,,
8/1/1937,-0.74,,,
9/1/1937,-0.86,,,
10/1/1937,-1.14,,,
11/1/1937,-0.45,,,
12/1/1937,0.47,,,
1/1/1938,-0.05,,,
2/1/1938,0.88,,,
3/1/1938,0.28,,,
4/1/1938,0.67,,,
5/1/1938,1.02,,,
6/1/1938,1.67,,,
7/1/1938,2.56,,,
8/1/1938,2.24,,,
9/1/1938,1.81,,,
10/1/1938,0.66,,,
11/1/1938,0.4,,,
12/1/1938,-0.2,,,
1/1/1939,-1.18,,,
2/1/1939,-0.72,,,
3/1/1939,-0.6,,,
4/1/1939,-0.38,,,
5/1/1939,-1.07,,,
6/1/1939,-0.58,,,
7/1/1939,-0.6,,,
8/1/1939,-0.41,,,
9/1/1939,-1.28,,,
10/1/1939,-1.54,,,
11/1/1939,-1.57,,,
12/1/1939,-0.63,,,
1/1/1940,0.4,,,
2/1/1940,-0.3,,,
3/1/1940,-0.75,,,
4/1/1940,0.52,,,
5/1/1940,0.85,,,
6/1/1940,1.16,,,
7/1/1940,0.39,,,
8/1/1940,0.53,,,
9/1/1940,-0.37,,,
10/1/1940,-0.16,,,
11/1/1940,-0.55,,,
12/1/1940,0.09,,,
1/1/1941,0.59,,,
2/1/1941,1.28,,,
3/1/1941,1.42,,,
4/1/1941,0.45,,,
5/1/1941,-0.91,,,
6/1/1941,-2.52,,,
7/1/1941,-1.53,,,
8/1/1941,-1.24,,,
9/1/1941,0.2,,,
10/1/1941,0.09,,,
11/1/1941,0.14,,,
12/1/1941,-1.45,,,
1/1/1942,-1.46,,,
2/1/1942,0.07,,,
3/1/1942,-0.03,,,
4/1/1942,0.3,,,
5/1/1942,-0.53,,,
6/1/1942,0.57,,,
7/1/1942,0.17,,,
8/1/1942,0.65,,,
9/1/1942,-0.28,,,
10/1/1942,-0.57,,,
11/1/1942,-1.43,,,
12/1/1942,-0.6,,,
1/1/1943,0.64,,,
2/1/1943,1.68,,,
3/1/1943,-0.32,,,
4/1/1943,-0.89,,,
5/1/1943,0.82,,,
6/1/1943,1.07,,,
7/1/1943,0.64,,,
8/1/1943,-0.48,,,
9/1/1943,0.19,,,
10/1/1943,1.23,,,
11/1/1943,1.65,,,
12/1/1943,1.46,,,
1/1/1944,-1.27,,,
2/1/1944,0.31,,,
3/1/1944,1.62,,,
4/1/1944,1.04,,,
5/1/1944,0.41,,,
6/1/1944,-0.94,,,
7/1/1944,0.32,,,
8/1/1944,-0.12,,,
9/1/1944,-0.16,,,
10/1/1944,-0.54,,,
11/1/1944,-0.25,,,
12/1/1944,0.13,,,
1/1/1945,-0.44,,,
2/1/1945,-0.7,,,
3/1/1945,-0.86,,,
4/1/1945,-0.1,,,
5/1/1945,-0.74,,,
6/1/1945,-0.83,,,
7/1/1945,-1.22,,,
8/1/1945,-0.68,,,
9/1/1945,-0.43,,,
10/1/1945,-0.17,,,
11/1/1945,-0.41,,,
12/1/1945,-0.68,,,
1/1/1946,-0.71,,,
2/1/1946,0.46,,,
3/1/1946,0.32,,,
4/1/1946,0.87,,,
5/1/1946,0.67,,,
6/1/1946,1.21,,,
7/1/1946,0.48,,,
8/1/1946,0.05,,,
9/1/1946,-0.17,,,
10/1/1946,-0.35,,,
11/1/1946,0.17,,,
12/1/1946,-0.13,,,
1/1/1947,1.23,,,
2/1/1947,1.31,,,
3/1/1947,1.58,,,
4/1/1947,1.44,,,
5/1/1947,0.74,,,
6/1/1947,-0.24,,,
7/1/1947,-0.27,,,
8/1/1947,0.81,,,
9/1/1947,1.15,,,
10/1/1947,0.75,,,
11/1/1947,-0.14,,,
12/1/1947,-1.16,,,
1/1/1948,0.11,,,
2/1/1948,0.8,,,
3/1/1948,0.67,,,
4/1/1948,0.09,,,
5/1/1948,-0.47,,,
6/1/1948,1,,,
7/1/1948,1.24,,,
8/1/1948,1.02,,,
9/1/1948,-0.28,,,
10/1/1948,-1.18,,,
11/1/1948,-0.42,,,
12/1/1948,0.43,,,
1/1/1949,1.4,,,
2/1/1949,-0.94,,,
3/1/1949,-0.9,,,
4/1/1949,-1.07,,,
5/1/1949,1.29,,,
6/1/1949,1.25,,,
7/1/1949,0.99,,,
8/1/1949,-0.24,,,
9/1/1949,1.38,,,
10/1/1949,1.15,,,
11/1/1949,1.6,,,
12/1/1949,-0.58,,,
1/1/1950,-0.2,,,
2/1/1950,-0.26,,,
3/1/1950,0.25,,,
4/1/1950,-0.14,,,
5/1/1950,-0.24,,,
6/1/1950,-1.27,,,
7/1/1950,-1.11,,,
8/1/1950,-1.23,,,
9/1/1950,0.59,,,
10/1/1950,0.86,,,
11/1/1950,1.03,,,
12/1/1950,-0.14,,,
1/1/1951,-0.8,,,
2/1/1951,-0.19,,,
3/1/1951,-0.1,,,
4/1/1951,0.07,,,
5/1/1951,0.12,,,
6/1/1951,0.68,,,
7/1/1951,1.61,,,
8/1/1951,0.93,,,
9/1/1951,-0.36,,,
10/1/1951,-1.11,,,
11/1/1951,-0.82,,,
12/1/1951,0.42,,,
1/1/1952,-1.28,,,
2/1/1952,0.35,,,
3/1/1952,0.28,,,
4/1/1952,0.11,,,
5/1/1952,0.97,,,
6/1/1952,0.98,,,
7/1/1952,0.54,,,
8/1/1952,-0.5,,,
9/1/1952,-0.98,,,
10/1/1952,-0.75,,,
11/1/1952,-0.4,,,
12/1/1952,-0.16,,,
1/1/1953,-0.9,,,
2/1/1953,-0.33,,,
3/1/1953,-1.36,,,
4/1/1953,1.09,,,
5/1/1953,0.35,,,
6/1/1953,1.5,,,
7/1/1953,1.59,,,
8/1/1953,1.28,,,
9/1/1953,0.92,,,
10/1/1953,0.58,,,
11/1/1953,0.69,,,
12/1/1953,0.38,,,
1/1/1954,-1.35,,,
2/1/1954,-0.98,,,
3/1/1954,1.21,,,
4/1/1954,1.27,,,
5/1/1954,0.84,,,
6/1/1954,1.41,,,
7/1/1954,2.39,,,
8/1/1954,1.83,,,
9/1/1954,1.6,,,
10/1/1954,0.02,,,
11/1/1954,0.22,,,
12/1/1954,-1.21,,,
1/1/1955,0.1,,,
2/1/1955,0.97,,,
3/1/1955,0.07,,,
4/1/1955,-0.23,,,
5/1/1955,0.05,,,
6/1/1955,0.94,,,
7/1/1955,1.17,,,
8/1/1955,1.92,,,
9/1/1955,1.48,,,
10/1/1955,1.4,,,
11/1/1955,0.5,,,
12/1/1955,0.53,,,
1/1/1956,-0.84,,,
2/1/1956,-1.17,,,
3/1/1956,-1.31,,,
4/1/1956,-0.62,,,
5/1/1956,1.79,,,
6/1/1956,0.79,,,
7/1/1956,1.7,,,
8/1/1956,0.74,,,
9/1/1956,0.79,,,
10/1/1956,0.02,,,
11/1/1956,0.6,,,
12/1/1956,1.01,,,
1/1/1957,1.22,,,
2/1/1957,-1.22,,,
3/1/1957,0.49,,,
4/1/1957,1.45,,,
5/1/1957,1.72,,,
6/1/1957,0.71,,,
7/1/1957,0.38,,,
8/1/1957,0.71,,,
9/1/1957,0.1,,,
10/1/1957,0.39,,,
11/1/1957,-0.31,,,
12/1/1957,0.67,,,
1/1/1958,-0.52,,,
2/1/1958,-1.2,,,
3/1/1958,0.75,,,
4/1/1958,0.91,,,
5/1/1958,0.66,,,
6/1/1958,-1.07,,,
7/1/1958,-0.22,,,
8/1/1958,1.11,,,
9/1/1958,0.56,,,
10/1/1958,0.2,,,
11/1/1958,-1.05,,,
12/1/1958,0.19,,,
1/1/1959,0.64,,,
2/1/1959,-0.81,,,
3/1/1959,-0.98,,,
4/1/1959,0.04,,,
5/1/1959,-0.1,,,
6/1/1959,0.63,,,
7/1/1959,0.72,,,
8/1/1959,0.99,,,
9/1/1959,1.03,,,
10/1/1959,1.31,,,
11/1/1959,1.13,,,
12/1/1959,1.12,,,
1/1/1960,0.001,,,
2/1/1960,-0.87,,,
3/1/1960,0.18,,,
4/1/1960,-0.11,,,
5/1/1960,0.71,,,
6/1/1960,-0.65,,,
7/1/1960,-0.62,,,
8/1/1960,-1.63,,,
9/1/1960,0.42,,,
10/1/1960,0.66,,,
11/1/1960,1.33,,,
12/1/1960,0.43,,,
1/1/1961,0.5,,,
2/1/1961,-1.01,,,
3/1/1961,-0.7,,,
4/1/1961,0.28,,,
5/1/1961,1.71,,,
6/1/1961,1.54,,,
7/1/1961,1.65,,,
8/1/1961,0.82,,,
9/1/1961,-0.52,,,
10/1/1961,0.11,,,
11/1/1961,0.27,,,
12/1/1961,1.72,,,
1/1/1962,0.1,,,
2/1/1962,-0.6,,,
3/1/1962,-0.75,,,
4/1/1962,0.56,,,
5/1/1962,1.21,,,
6/1/1962,0.39,,,
7/1/1962,-0.28,,,
8/1/1962,0.4,,,
9/1/1962,1.24,,,
10/1/1962,1.29,,,
11/1/1962,0.9,,,
12/1/1962,0.57,,,
1/1/1963,1.23,,,
2/1/1963,1.49,,,
3/1/1963,0.6,,,
4/1/1963,0.69,,,
5/1/1963,0.18,,,
6/1/1963,0.89,,,
7/1/1963,0.74,,,
8/1/1963,1.68,,,
9/1/1963,0.3,,,
10/1/1963,0.39,,,
11/1/1963,-1.03,,,
12/1/1963,0.2,,,
1/1/1964,-1.39,,,
2/1/1964,-1.26,,,
3/1/1964,0.52,,,
4/1/1964,0.84,,,
5/1/1964,0.26,,,
6/1/1964,-0.18,,,
7/1/1964,0.07,,,
8/1/1964,0.12,,,
9/1/1964,0.43,,,
10/1/1964,0.01,,,
11/1/1964,-0.01,,,
12/1/1964,-0.83,,,
1/1/1965,-0.26,,,
2/1/1965,-0.45,,,
3/1/1965,-0.88,,,
4/1/1965,0.57,,,
5/1/1965,-0.14,,,
6/1/1965,-0.52,,,
7/1/1965,-0.23,,,
8/1/1965,0.4,,,
9/1/1965,-0.12,,,
10/1/1965,-0.78,,,
11/1/1965,-1.8,,,
12/1/1965,-1.23,,,
1/1/1966,0.29,,,
2/1/1966,1.1,,,
3/1/1966,0.1,,,
4/1/1966,-0.69,,,
5/1/1966,0.94,,,
6/1/1966,0.08,,,
7/1/1966,0.34,,,
8/1/1966,-0.46,,,
9/1/1966,-0.15,,,
10/1/1966,-0.77,,,
11/1/1966,0.14,,,
12/1/1966,0.34,,,
1/1/1967,1.47,,,
2/1/1967,0.36,,,
3/1/1967,-0.64,,,
4/1/1967,-0.54,,,
5/1/1967,-0.23,,,
6/1/1967,-0.52,,,
7/1/1967,0.62,,,
8/1/1967,-0.01,,,
9/1/1967,-0.22,,,
10/1/1967,-1.18,,,
11/1/1967,-0.89,,,
12/1/1967,0.21,,,
1/1/1968,0.96,,,
2/1/1968,2.79,,,
3/1/1968,2.34,,,
4/1/1968,1.84,,,
5/1/1968,0.25,,,
6/1/1968,-1.41,,,
7/1/1968,-0.4,,,
8/1/1968,-1.09,,,
9/1/1968,-0.05,,,
10/1/1968,-0.34,,,
11/1/1968,0.52,,,
12/1/1968,0.13,,,
1/1/1969,0.55,,,
2/1/1969,-0.88,,,
3/1/1969,-1.27,,,
4/1/1969,-1.18,,,
5/1/1969,-1.47,,,
6/1/1969,-0.3,,,
7/1/1969,-0.05,,,
8/1/1969,0.17,,,
9/1/1969,0.26,,,
10/1/1969,-0.06,,,
11/1/1969,-0.07,,,
12/1/1969,-0.61,,,
1/1/1970,0.32,,,
2/1/1970,-0.28,,,
3/1/1970,-0.55,,,
4/1/1970,0.86,,,
5/1/1970,1,,,
6/1/1970,1.14,,,
7/1/1970,0.2,,,
8/1/1970,1.31,,,
9/1/1970,1,,,
10/1/1970,1.08,,,
11/1/1970,-0.15,,,
12/1/1970,-0.74,,,
1/1/1971,-1.43,,,
2/1/1971,-1.15,,,
3/1/1971,-1.29,,,
4/1/1971,-1.31,,,
5/1/1971,0.68,,,
6/1/1971,-0.66,,,
7/1/1971,-2.03,,,
8/1/1971,-1.13,,,
9/1/1971,0.01,,,
10/1/1971,1.23,,,
11/1/1971,0.78,,,
12/1/1971,0.65,,,
1/1/1972,-1.46,,,
2/1/1972,-1.24,,,
3/1/1972,-1.36,,,
4/1/1972,-1.05,,,
5/1/1972,-1.07,,,
6/1/1972,-1.01,,,
7/1/1972,-2.07,,,
8/1/1972,-2.41,,,
9/1/1972,-2.56,,,
10/1/1972,-2.05,,,
11/1/1972,-1.01,,,
12/1/1972,-0.46,,,
1/1/1973,0.84,,,
2/1/1973,-0.79,,,
3/1/1973,-1.05,,,
4/1/1973,-1.11,,,
5/1/1973,-1.32,,,
6/1/1973,-0.44,,,
7/1/1973,-0.22,,,
8/1/1973,1.21,,,
9/1/1973,0.84,,,
10/1/1973,1.24,,,
11/1/1973,0.13,,,
12/1/1973,0.66,,,
1/1/1974,-1.17,,,
2/1/1974,-1.26,,,
3/1/1974,0.39,,,
4/1/1974,0.5,,,
5/1/1974,1.04,,,
6/1/1974,0.26,,,
7/1/1974,0.15,,,
8/1/1974,0.17,,,
9/1/1974,0.19,,,
10/1/1974,1.2,,,
11/1/1974,0.99,,,
12/1/1974,1.57,,,
1/1/1975,-1.01,,,
2/1/1975,-0.1,,,
3/1/1975,-0.07,,,
4/1/1975,-0.85,,,
5/1/1975,-0.79,,,
6/1/1975,-0.58,,,
7/1/1975,-0.03,,,
8/1/1975,0.41,,,
9/1/1975,1.21,,,
10/1/1975,1.59,,,
11/1/1975,1.32,,,
12/1/1975,0.96,,,
1/1/1976,-1.29,,,
2/1/1976,-1.26,,,
3/1/1976,0.14,,,
4/1/1976,0.31,,,
5/1/1976,-0.12,,,
6/1/1976,0.23,,,
7/1/1976,0.05,,,
8/1/1976,0.21,,,
9/1/1976,-1.03,,,
10/1/1976,-1.56,,,
11/1/1976,-1.55,,,
12/1/1976,-0.43,,,
1/1/1977,0.84,,,
2/1/1977,-0.44,,,
3/1/1977,0.52,,,
4/1/1977,0.12,,,
5/1/1977,-0.35,,,
6/1/1977,-0.46,,,
7/1/1977,-0.65,,,
8/1/1977,-0.92,,,
9/1/1977,-1.5,,,
10/1/1977,-0.65,,,
11/1/1977,0.43,,,
12/1/1977,1.55,,,
1/1/1978,1.67,,,
2/1/1978,1.33,,,
3/1/1978,1.78,,,
4/1/1978,1.41,,,
5/1/1978,0.81,,,
6/1/1978,0.86,,,
7/1/1978,0.78,,,
8/1/1978,0.4,,,
9/1/1978,-0.52,,,
10/1/1978,-0.68,,,
11/1/1978,-0.33,,,
12/1/1978,0.44,,,
1/1/1979,0.73,,,
2/1/1979,0.29,,,
3/1/1979,0.86,,,
4/1/1979,0.49,,,
5/1/1979,-0.02,,,
6/1/1979,-0.52,,,
7/1/1979,-0.09,,,
8/1/1979,-0.23,,,
9/1/1979,0.5,,,
10/1/1979,0.08,,,
11/1/1979,0.86,,,
12/1/1979,0.57,,,
1/1/1980,1.58,,,
2/1/1980,-0.55,,,
3/1/1980,0.56,,,
4/1/1980,0.91,,,
5/1/1980,0.35,,,
6/1/1980,-0.12,,,
7/1/1980,-0.7,,,
8/1/1980,0.4,,,
9/1/1980,-0.15,,,
10/1/1980,-0.3,,,
11/1/1980,-1.54,,,
12/1/1980,-1.71,,,
1/1/1981,0.38,,,
2/1/1981,1.16,,,
3/1/1981,1.3,,,
4/1/1981,0.15,,,
5/1/1981,0.8,,,
6/1/1981,0.69,,,
7/1/1981,-0.29,,,
8/1/1981,-0.66,,,
9/1/1981,0.46,,,
10/1/1981,1.15,,,
11/1/1981,1.31,,,
12/1/1981,0.58,,,
1/1/1982,0.21,,,
2/1/1982,0.55,,,
3/1/1982,-0.88,,,
4/1/1982,0.72,,,
5/1/1982,1.48,,,
6/1/1982,0.26,,,
7/1/1982,0.66,,,
8/1/1982,-0.49,,,
